영화제목,개봉일,예매매출액,예매관람수
린다 린다 린다,"재개봉일 : 2025-09-17

										2006-04-13","67,000",8
제27회 부산독립영화제 메이드 인 부산 3,,"64,000",8
3학년 2학기,2025-09-03,"63,000",8
제27회 부산독립영화제 스펙트럼 부산-나우 2,,"60,000",8
극장판 나와 로보코,2025-11-26,"57,800",8
타타르인의 사막,2025-10-29,"45,000",8
웨폰,2025-10-15,"80,500",7
한 채,2024-11-20,"69,000",7
애프터 양,2022-06-01,"65,000",7
연의 편지,2025-10-01,"58,500",7
삼희 : The Adventure of 3 Joys,,"56,000",7
부력,,"52,000",7
10월의 어느 멋진 날에,,"48,000",7
재민이,,"31,000",7
후계자,2025-11-12,"58,000",6
말할 수 없는 비밀: 마지막 챕터,2025-10-30,"45,500",6
로봇 드림,2024-03-13,"50,000",5
"그래도, 사랑해.",,"38,000",5
"인터섹션 에코즈- 신체, 섹슈얼리티, 이미지",,"35,000",5
죄의 목소리,2025-11-28,"132,000",4
베일리와 버드,2025-10-29,"34,000",4
일단발광,,"32,000",4
시네마 테러리스트,,"32,000",4
한국인을 관두는 법,,"32,000",4
제27회 부산독립영화제 포럼 인디크라시,,"30,000",4
제27회 부산독립영화제 스펙트럼 부산-나우 3,,"28,000",4
동에 번쩍 서에 번쩍,2025-11-26,"27,000",4
미러 넘버 3,2025-10-01,"26,000",4
손님,,"12,000",4
한여름밤의 재즈,2022-09-08,"32,000",3
홍이,2025-09-24,"28,000",3
얼굴,2025-09-11,"24,400",3
트랜스-컨티넨탈-레일웨이,,"24,000",3
"도토리 문화센터: Part1 고두리, 취미 지옥에 빠지다",,"22,000",3
옹기와 장인,,"20,000",3
개비의 매직하우스 극장판,2025-10-03,"24,000",2
퍼펙트 블루,"재개봉일 : 2025-09-11

										2004-05-26","22,000",2
우리의 이름,,"21,000",2
여름이 지나가면,2025-07-09,"20,000",2
피크닉,"재개봉일 : 2025-09-17

										2005-06-23","18,000",2
망양 중복,,"16,000",2
일과 날,2025-07-16,"16,000",2
제27회 부산독립영화제 스펙트럼 부산-리와인드,,"16,000",2
생명의 은인,2025-11-05,"15,000",2
제27회 부산독립영화제 특별상영 1,,"14,000",2
2025년 11월 수요단편극장,,"14,000",2
이로 인해 그대는 죽지 않을 것이다,,"14,000",2
제 5회 2030 청년영화제 제 5회 사전제작지원2,,"14,000",2
제 5회 2030 청년영화제 제 5회 사전제작지원1,,"14,000",2
인디스데이 11월 단편,,"11,000",2
첫여름,,"8,000",2
쇼아 1부,,"15,000",1
쇼아 2부,,"10,000",1
뼈,,"8,000",1
불명한 풍경,,"8,000",1
파일럿,,"7,000",1
12년 결혼생활 하룻밤의 위험한 불륜,,"6,000",1
